全体結果,,,,,,,
測定回,目標文字列,入力された文章,誤り文字数,CER(％),入力時間（秒）,CPS（文字/秒）,文字数
1,なかの,なかの,0,0.0%,7.7,0.39,3
2,なかの,なかの,0,0.0%,7.9,0.38,3
3,なかの,なかの,0,0.0%,6.9,0.43,3
4,なかの,なかの,0,0.0%,6.0,0.50,3
5,なかの,なかの,0,0.0%,5.3,0.57,3
6,なかの,なかの,0,0.0%,6.1,0.49,3
7,なかの,なかの,0,0.0%,5.6,0.53,3
8,なかの,なかの,0,0.0%,6.0,0.50,3
9,なかの,なかの,0,0.0%,5.9,0.51,3
10,なかの,なかの,0,0.0%,5.4,0.56,3
1,ひなた,ひなた,0,0.0%,9.0,0.33,3
2,ひなた,ひなた,0,0.0%,7.9,0.38,3
3,ひなた,ひなた,0,0.0%,7.9,0.38,3
4,ひなた,ひなた,0,0.0%,6.7,0.44,3
5,ひなた,ひなた,0,0.0%,6.8,0.44,3
6,ひなた,ひなた,0,0.0%,7.8,0.38,3
7,ひなた,ひなた,0,0.0%,7.0,0.43,3
8,ひなた,ひなた,0,0.0%,7.3,0.41,3
9,ひなた,ひなた,0,0.0%,7.2,0.42,3
10,ひなた,ひなた,0,0.0%,6.8,0.44,3
1,ゆめをみる,ゆめをみる,0,0.0%,17.7,0.28,5
2,ゆめをみる,ゆめをなみる,1,16.7%,18.8,0.27,5
3,ゆめをみる,ゆめをやをみへる,3,37.5%,28.3,0.18,5
4,ゆめをみる,ゆめをたみへる,2,28.6%,20.8,0.24,5
5,ゆめをみる,ゆよめをみる,1,16.7%,23.4,0.21,5
6,ゆめをみる,ゆまなめをみる,2,28.6%,24.9,0.20,5
7,ゆめをみる,ゆめをみはる,1,16.7%,20.7,0.24,5
8,ゆめをみる,ゆめをみる,0,0.0%,22.5,0.22,5
9,ゆめをみる,ゆめををみへる,2,28.6%,20.0,0.25,5
10,ゆめをみる,ゆめをみる,0,0.0%,18.8,0.27,5
1,あさになる,あさになる,0,0.0%,15.0,0.33,5
2,あさになる,つあさになる,1,16.7%,18.2,0.27,5
3,あさになる,あさになる,0,0.0%,13.5,0.37,5
4,あさになる,あさになる,0,0.0%,13.3,0.38,5
5,あさになる,きあさになる,1,16.7%,20.3,0.25,5
6,あさになる,あさになる,0,0.0%,15.4,0.32,5
7,あさになる,あさになる,0,0.0%,13.9,0.36,5
8,あさになる,あさになる,0,0.0%,14.1,0.36,5
9,あさになる,くあさになる,1,16.7%,16.7,0.30,5
10,あさになる,あさになる,0,0.0%,13.9,0.36,5
1,わたしはうたう,わたしはうたう,0,0.0%,21.0,0.33,7
2,わたしはうたう,わたしはうねねね,3,37.5%,39.3,0.20,7
3,わたしはうたう,わたしはうたう,0,0.0%,19.6,0.36,7
4,わたしはうたう,わたはしはつうなたう,3,30.0%,27.3,0.26,7
5,わたしはうたう,わなたしはかなうたう,3,30.0%,36.6,0.19,7
6,わたしはうたう,わたしはうたう,0,0.0%,24.9,0.28,7
7,わたしはうたう,わたしはあうたあかなう,4,36.4%,32.0,0.22,7
8,わたしはうたう,わたしはうたあくう,2,22.2%,27.6,0.25,7
9,わたしはうたう,わたくしはうたあかう,3,30.0%,29.4,0.24,7
10,わたしはうたう,わたしはくかうたう,2,22.2%,26.1,0.27,7